NODE,LABEL,VALUE
45152,1,0.00602823
44819,1,0.00653567
44921,1,0.0066643
44918,1,0.00666789
45138,1,0.00700492
44902,1,0.00745496
44907,1,0.00718521
44904,1,0.00759578
45344,1,0.00772767
44880,1,0.0077231
44882,1,0.00779515
44879,1,0.00817794
45575,1,0.00782501
44886,1,0.00819657
44888,1,0.00817159
44885,1,0.00817159
45612,1,0.00811311
45587,1,0.00843097
45590,1,0.00800076
44892,1,0.00831056
44894,1,0.00814855
44502,1,-0.00106478
44499,1,-0.00105107
44507,1,-0.00098199
44504,1,-0.00096064
45078,1,-0.00091748
45066,1,-0.00090503
45068,1,-0.00092374
45065,1,-0.00090872
45429,1,-0.00095511
44756,1,-0.00095511
44759,1,-0.00096427
44752,1,-0.00095742
44753,1,-0.00095959
44751,1,-0.00096183
45204,1,-0.00096183
45202,1,-0.00095723
45378,1,-0.00095277
45375,1,-0.00094819
45511,1,-0.00093708
44766,1,-0.0009393
44771,1,-0.0009193
44768,1,-0.0009193
45092,1,-0.00090162
45090,1,-0.00090162
45217,1,-0.00087305
44796,1,-0.00087525
44798,1,-0.00084666
44795,1,-0.00084472
44980,1,-0.00081408
44789,1,-0.00081408
44794,1,-0.0007796
44791,1,-0.0007736
45499,1,-0.00074109
45347,1,-0.00074109
45348,1,-0.00070077
44778,1,-0.00070077
44983,1,-0.00066081
44981,1,-0.00065751
45128,1,-0.00061597
44984,1,-0.00061384
44986,1,-0.0005727
44825,1,-0.0005698
45130,1,-0.00052775
44987,1,-0.00052715
44992,1,-0.0004849
44989,1,-0.00048033
45154,1,-0.00044099
44838,1,-0.00043871
44998,1,-0.00039749
44996,1,-0.00039337
45159,1,-0.00035465
44930,1,-0.00035278
44931,1,-0.00031058
44830,1,-0.00031058
44929,1,-0.00027081
44853,1,-0.00026937
45009,1,-0.00023145
44844,1,-0.00023345
44849,1,-0.00019554
44952,3,-0.00638164
44843,3,-0.00349997
45010,3,-0.00061809
44935,3,0.00226658
45008,3,0.00526309
44999,3,0.00815263
45003,3,0.01105938
45000,3,0.01106053
45161,3,0.01387307
44909,3,0.01666666
44910,3,0.01939027
44908,3,0.02208396
45258,3,0.02212052
44924,3,0.02471427
44926,3,0.02714949
44923,3,0.02714949
45152,3,0.02985792
44819,3,0.03235475
44921,3,0.03419577
44918,3,0.03419935
45138,3,0.0372751
44902,3,0.03967395
44907,3,0.03971891
44904,3,0.04201671
45344,3,0.04446953
44880,3,0.04446953
44882,3,0.04681894
44879,3,0.04911809
45575,3,0.04917859
44886,3,0.05148056
44888,3,0.05383768
44885,3,0.05384319
45612,3,0.05621102
45587,3,0.05841929
45590,3,0.05846709
44892,3,0.06077638
44894,3,0.06314162
44502,3,0.02473245
44499,3,0.02441648
44507,3,0.02429558
44504,3,0.02376983
45078,3,0.02336622
45066,3,0.02305137
45068,3,0.02248777
45065,3,0.02218061
45429,3,0.02275573
44756,3,0.02275573
44759,3,0.02264662
44752,3,0.02243523
44753,3,0.02232615
44751,3,0.02232839
45204,3,0.02232615
45202,3,0.02222156
45378,3,0.02221933
45375,3,0.02211472
45511,3,0.02211472
44766,3,0.02211472
44771,3,0.02200789
44768,3,0.02200789
45092,3,0.02200789
45090,3,0.0220101
45217,3,0.02190325
44796,3,0.02190325
44798,3,0.02190325
44795,3,0.02179641
44980,3,0.0217986
44789,3,0.0217986
44794,3,0.02169174
44791,3,0.02158489
45499,3,0.02158922
45347,3,0.02158705
45348,3,0.02148019
44778,3,0.02148234
44983,3,0.02137547
44981,3,0.02126859
45128,3,0.02116171
44984,3,0.02116383
44986,3,0.02105695
44825,3,0.02095006
45130,3,0.02095006
44987,3,0.02084526
44992,3,0.02073836
44989,3,0.02063146
45154,3,0.02063353
44838,3,0.02052457
44998,3,0.02041972
44996,3,0.02031281
45159,3,0.02031281
44930,3,0.0202059
44931,3,0.020101
44830,3,0.020101
44929,3,0.01999609
44853,3,0.01988716
45009,3,0.01988716
44844,3,0.01988716
44849,3,0.01989315
46042,1,-0.00164878
45936,1,-0.00090454
46104,1,-0.00015512
46030,1,0.000569
46102,1,0.00128295
46093,1,0.00198816
46097,1,0.00261706
46094,1,0.00261821
46233,1,0.00318401
46000,1,0.00382729
46001,1,0.00431697
45999,1,0.00491491
46376,1,0.00476639
46017,1,0.00532838
46019,1,0.00570187
46016,1,0.00570469
46224,1,0.00602208
45912,1,0.00652566
46011,1,0.00677179
46006,1,0.00677179
46212,1,0.00700492
45994,1,0.00745496
45998,1,0.00718521
45977,1,0.00759578
45982,1,0.00772767
45979,1,0.0077231
46696,1,0.00779515
46337,1,0.00817794
46429,1,0.00782501
45963,1,0.00819657
45965,1,0.00817159
45962,1,0.00817159
46071,1,0.00811311
46069,1,0.00843097
46197,1,0.00799478
45973,1,0.00831677
45976,1,0.00814855
45714,1,-0.00106978
45625,1,-0.00105601
45627,1,-0.00096788
45624,1,-0.00096788
46320,1,-0.0009649
46319,1,-0.00094946
46719,1,-0.00095414
46312,1,-0.00094101
46314,1,-0.00095282
45858,1,-0.00094835
45863,1,-0.00096199
45860,1,-0.00095517
46293,1,-0.00095735
46291,1,-0.00095735
46302,1,-0.00095959
45865,1,-0.00095277
45867,1,-0.0009483
45864,1,-0.00094375
46323,1,-0.00093486
45870,1,-0.00093035
45875,1,-0.00091488
45872,1,-0.00091488
46194,1,-0.0008972
46192,1,-0.0008972
46575,1,-0.00086865
45886,1,-0.00087085
45888,1,-0.00083787
45885,1,-0.00083378
46077,1,-0.00080971
45879,1,-0.00081189
45884,1,-0.00077307
45881,1,-0.00077143
46366,1,-0.00073676
46364,1,-0.00073676
46653,1,-0.00069861
46594,1,-0.00069861
46595,1,-0.00065652
46593,1,-0.00065324
46600,1,-0.00061172
46078,1,-0.00061172
46080,1,-0.00056848
45918,1,-0.0005677
46204,1,-0.00052564
