ELEMENT,Surface,Cpv
627,P,-13.08745728
628,P,-12.76563456
629,P,-12.71199744
630,P,-35.1323136
631,P,-32.02136064
632,P,-35.1323136
633,P,-12.76563456
634,P,-12.71199744
635,P,-22.95668736
636,P,-26.87219712
637,P,-51.38436096
638,P,-16.19841024
639,P,-16.25204736
640,P,-16.25204736
641,P,-14.64293376
642,P,-14.26747392
643,P,-15.07203072
644,P,-14.64293376
645,P,-20.06028288
646,P,-12.71199744
647,P,-51.38436096
648,P,-16.19841024
649,P,-51.38436096
650,P,-16.19841024
651,P,-16.19841024
652,P,-16.19841024
653,P,-32.55773184
654,P,-16.19841024
655,P,-51.38436096
656,P,-16.19841024
657,P,-12.71199744
658,P,-12.71199744
659,P,-35.1323136
660,P,-32.02136064
661,P,-38.6187264
662,P,-15.07203072
663,P,-15.66203904
664,P,-15.66203904
665,P,-12.71199744
666,P,-12.71199744
667,P,-12.71199744
668,P,-12.71199744
669,P,-12.71199744
670,P,-12.71199744
671,P,-15.07203072
672,P,-14.64293376
673,P,-14.64293376
674,P,-53.63712
675,P,-53.63712
676,P,-12.71199744
677,P,-17.86116096
678,P,-18.88026624
679,P,-14.26747392
680,P,-14.26747392
681,P,-22.95668736
682,P,-12.71199744
683,P,-12.71199744
684,P,-12.71199744
685,P,-53.63712
686,P,-53.63712
687,P,-53.63712
688,P,-53.63712
689,P,-52.67165184
690,P,-53.63712
691,P,-53.63712
692,P,-51.38436096
693,P,-44.5188096
694,P,-53.63712
695,P,-53.63712
696,P,-51.38436096
697,P,-53.63712
698,P,-53.63712
699,P,-32.55773184
700,P,-53.63712
701,P,-52.67165184
702,P,-51.38436096
703,P,-53.63712
704,P,-53.63712
705,P,-16.19841024
706,P,-52.67165184
707,P,-53.63712
708,P,-53.63712
709,P,-51.38436096
710,P,-53.63712
711,P,-53.63712
712,P,-53.63712
713,P,-52.67165184
714,P,-53.63712
715,P,-44.5188096
716,P,-52.67165184
717,P,-53.63712
718,P,-32.55773184
719,P,-53.63712
720,P,-38.6187264
721,P,-32.02136064
722,P,-15.66203904
723,P,-14.64293376
724,P,-15.66203904
725,P,-15.07203072
726,P,-17.86116096
727,P,-18.88026624
728,P,-13.40928
729,P,-12.98018304
730,P,-13.08745728
731,P,-12.98018304
732,P,-12.98018304
733,P,-13.08745728
734,P,-12.98018304
735,P,-14.26747392
736,P,-13.89201408
737,P,-13.89201408
738,P,-13.08745728
739,P,-49.82888448
740,P,-49.82888448
741,P,-52.67165184
742,P,-49.82888448
743,P,-14.64293376
744,P,-15.07203072
745,P,-15.07203072
746,P,-13.40928
747,P,-12.81927168
748,P,-12.76563456
749,P,-12.71199744
750,P,-12.8729088
751,P,-13.08745728
752,P,-35.1323136
753,P,-38.6187264
754,P,-32.02136064
755,P,-42.31968768
756,P,-38.6187264
757,P,-35.1323136
758,P,-12.71199744
759,P,-51.38436096
760,P,-16.19841024
761,P,-16.19841024
762,P,-51.38436096
763,P,-16.19841024
764,P,-16.19841024
765,P,-49.82888448
766,P,-52.67165184
767,P,-46.23519744
768,P,-49.82888448
769,P,-49.82888448
770,P,-46.23519744
771,P,-16.19841024
772,P,-51.38436096
773,P,-12.71199744
774,P,-12.8729088
775,P,-49.82888448
776,P,-49.82888448
777,P,-46.23519744
778,P,-49.82888448
779,P,-49.82888448
780,P,-52.67165184
781,P,-15.07203072
782,P,-12.8729088
783,P,-42.31968768
784,P,-42.31968768
785,P,-12.71199744
786,P,-12.71199744
787,P,-12.71199744
788,P,-12.71199744
789,P,-16.25204736
790,P,-15.07203072
791,P,-14.64293376
792,P,-15.66203904
793,P,-15.07203072
794,P,-12.71199744
795,P,-12.71199744
796,P,-12.81927168
797,P,-14.64293376
798,P,-14.26747392
799,P,-13.89201408
800,P,-14.26747392
801,P,-13.89201408
802,P,-14.26747392
803,P,-12.98018304
804,P,-12.81927168
805,P,-12.98018304
806,P,-12.8729088
807,P,-13.08745728
808,P,-13.24836864
809,P,-13.24836864
810,P,-13.62382848
811,P,-15.07203072
812,P,-15.07203072
813,P,-12.8729088
814,P,-12.71199744
815,P,-12.71199744
816,P,-12.71199744
817,P,-14.64293376
818,P,-14.64293376
819,P,-14.64293376
820,P,-15.66203904
821,P,-15.07203072
